127.0.0.1 - - [17/Oct/2022:15:46:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:46:31 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:46:31 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:47:07 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:47:33 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:47:42 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:47:56 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:48:02 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:48:10 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:48:10 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:48:26 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:48:39 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:48:42 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:49:03 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3075
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:49:10 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:49:10 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:49:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:51:06 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5961
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:51:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:51:54 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:51:54 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:51:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:52:01 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5945
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:52:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
